feature_level,group_size,n_groups,n_genuine,n_impostor,n_within_group_impostor,eer,decidability,within_group_impostor_mean,across_group_impostor_mean,genuine_mean
6,1,100,990000,99000000,0,0.06783030303030303,2.8418770624411933,,0.031352242065528974,0.43047059105897384
6,2,50,990000,99000000,1000000,0.07253333333333334,2.796087874890018,0.030913496619871944,0.03157083173259523,0.4266851937433795
6,5,20,990000,99000000,4000000,0.06944848484848484,2.8099988722924825,0.05915448699864373,0.031814479987357806,0.4322867991562102
6,10,10,990000,99000000,9000000,0.07134949494949495,2.7635017998753284,0.05315922531691773,0.03125928774258151,0.43072747527165595
6,25,4,990000,99000000,24000000,0.08962725252525253,2.588696396324802,0.05439979551534573,0.032616620321188776,0.4307388579830776
6,50,2,990000,99000000,49000000,0.11631166666666667,2.342646073627224,0.05734630343963623,0.03345477349314983,0.4252398117513792
6,100,1,990000,99000000,99000000,0.16198400000000002,2.011340728724288,0.058763622017509204,,0.42721573590609424
