regime,feature_level,n_template_dims,classifier,n_folds,accuracy_mean,accuracy_std,accuracy_ci_lo,accuracy_ci_hi,auc_mean,auc_std,auc_ci_lo,auc_ci_hi,eer_mean,eer_std,eer_ci_lo,eer_ci_hi,precision_mean,precision_std,precision_ci_lo,precision_ci_hi,recall_mean,recall_std,recall_ci_lo,recall_ci_hi,f1_mean,f1_std,f1_ci_lo,f1_ci_hi,ap_mean,ap_std,ap_ci_lo,ap_ci_hi,rank_1_accuracy_mean,rank_5_accuracy_mean,rank_10_accuracy_mean,rank_20_accuracy_mean
identity,1,52,MLP,25,0.87744,0.01568858395989474,0.8600030270599821,0.8948769729400179,0.9964554545454546,0.0007256102214516671,0.9956489798611365,0.9972619292297726,0.012512828282828285,0.002378663659212772,0.009869078281864188,0.015156578283792382,0.8794552784281808,0.016384047598986796,0.8612453370235383,0.8976652198328233,0.8774399999999999,0.015688583959894767,0.860003027059982,0.8948769729400178,0.8748169126250825,0.016897941692953652,0.8560358070265623,0.8935980182236027,0.919614482586205,0.013576437588223737,0.9045250407696035,0.9347039244028066,0.87744,0.9731799999999999,0.9877000000000001,0.99496
identity,1,52,LR,25,0.94112,0.003990300740545747,0.9366850066179779,0.945554993382022,0.9978016464646465,0.0005098515706335381,0.9972349753066064,0.9983683176226866,0.005466363636363639,0.0009021131739350778,0.004463715912199938,0.00646901136052734,0.9439952921018429,0.0039203466122431346,0.939638048773323,0.9483525354303627,0.94112,0.003990300740545763,0.9366850066179779,0.945554993382022,0.9412560828433759,0.0040112835665092736,0.9367977682381341,0.9457143974486177,0.9651513118102828,0.0030343222164369798,0.9617788344398228,0.9685237891807428,0.94112,0.9877800000000001,0.9938400000000001,0.9974599999999999
identity,1,52,SVM,25,0.93188,0.004433020039055391,0.9269529491800429,0.9368070508199572,0.9986339797979799,0.00036803278628510963,0.9982249321903757,0.999043027405584,0.006684141414141417,0.001306651634664467,0.0052318720918164635,0.008136410736466369,0.9381368317775476,0.003685351549616939,0.9340407721580563,0.9422328913970389,0.93188,0.004433020039055364,0.9269529491800429,0.9368070508199572,0.9331104717402815,0.004223826419206599,0.9284159277863265,0.9378050156942365,0.9727573893891275,0.0031982500477970746,0.9692027155140722,0.9763120632641827,0.9446000000000001,0.9801599999999999,0.98746,0.9930599999999999
identity,1,52,DT,25,0.8684999999999999,0.009437293044088425,0.8580109830270561,0.8789890169729437,0.9340856666666667,0.004844636804693822,0.9287011271133451,0.9394702062199883,0.06588979797979798,0.004846895831608344,0.06050274764594444,0.07127684831365151,0.8746487076711653,0.009283097772921306,0.8643310700131229,0.8849663453292077,0.8685,0.009437293044088472,0.8580109830270563,0.8789890169729438,0.8685732406346507,0.009443182241213922,0.8580776781524897,0.8790688031168117,0.7801108683791698,0.015141545901641072,0.7632818972730531,0.7969398394852865,0.8684999999999999,0.8731599999999999,0.88036,0.9065200000000001
identity,1,52,RF,25,0.95366,0.004285926582043468,0.9488964352305447,0.9584235647694552,0.9985844898989898,0.00046876736281597576,0.9980634815121602,0.9991054982858195,0.0035241414141414145,0.0009220042678194193,0.0024993858651609384,0.004548896963121891,0.9554061689937228,0.003881825177006927,0.9510917400597679,0.9597205979276776,0.95366,0.004285926582043452,0.9488964352305447,0.9584235647694552,0.9535678911554561,0.0042485660359300546,0.9488458505180238,0.9582899317928885,0.9751883880837272,0.002087942702978313,0.972867757967892,0.9775090181995624,0.9540799999999998,0.9926,0.99604,0.998
identity,2,78,MLP,25,0.8853600000000001,0.012826989774170202,0.8711035270024465,0.8996164729975538,0.9969736969696971,0.0008638433421027571,0.9960135839971582,0.9979338099422359,0.010760505050505053,0.002066986638868778,0.00846316641360393,0.013057843687406177,0.8870098452244612,0.01300292840148381,0.8725578264025418,0.9014618640463807,0.88536,0.012826989774170159,0.8711035270024464,0.8996164729975537,0.8824685038127956,0.013594755593670387,0.8673587025701233,0.897578305055468,0.9312471737269788,0.01151810650702365,0.9184454503849212,0.9440488970690365,0.8853600000000001,0.97584,0.9886399999999999,0.9953400000000001
identity,2,78,LR,25,0.9410199999999999,0.00390373752532961,0.9366812167313433,0.9453587832686564,0.9978977373737373,0.0006347927234376725,0.9971922011972795,0.9986032735501952,0.005062323232323235,0.0010140989693922771,0.0039352096360295,0.00618943682861697,0.9444703861556698,0.003770311232189829,0.94027989865857,0.9486608736527696,0.9410199999999999,0.0039037375253296253,0.9366812167313433,0.9453587832686564,0.9414488633189236,0.003825988609229678,0.9371964935691427,0.9457012330687046,0.9663787145494663,0.0031283859197397436,0.9629016906977356,0.9698557384011971,0.9410199999999999,0.98932,0.99496,0.9975
identity,2,78,SVM,25,0.9332600000000001,0.004890722509677524,0.9278242387945028,0.9386957612054974,0.9987258989898992,0.0003436624771475002,0.9983439376012971,0.9991078603785012,0.00633939393939394,0.0012759174184276496,0.004921283958550921,0.0077575039202369585,0.9399323252234744,0.004281028808188627,0.9351742040523956,0.9446904463945531,0.9332600000000001,0.004890722509677553,0.9278242387945027,0.9386957612054975,0.9346252006885934,0.004807001440039481,0.9292824907125455,0.9399679106646414,0.973783284185159,0.0035246670893561627,0.9698658162468935,0.9777007521234246,0.94592,0.98072,0.98866,0.9936800000000001
identity,2,78,DT,25,0.8586199999999999,0.008125679458769387,0.8495887672766375,0.8676512327233624,0.9291831565656565,0.0041223712440149616,0.9246013742955453,0.9337649388357677,0.07078979797979798,0.004118204632312397,0.06621264666272211,0.07536694929687385,0.8645702562012416,0.008080170944394576,0.8555896036153678,0.8735509087871154,0.8586199999999999,0.0081256794587694,0.8495887672766375,0.8676512327233624,0.8584928299651132,0.00820902312916596,0.8493689654701937,0.8676166944600328,0.7627633380005868,0.013174568430922448,0.7481205510024956,0.777406124998678,0.8586199999999999,0.8641000000000001,0.87288,0.8992399999999999
identity,2,78,RF,25,0.95442,0.004768997099321139,0.9491195296972332,0.9597204703027669,0.9988036464646466,0.0004100153396578275,0.9983479376256027,0.9992593553036905,0.0032859595959595965,0.0009760207943451392,0.0022011677356236466,0.0043707514562955465,0.9563074464003837,0.0044780221612416285,0.9513303782691885,0.9612845145315788,0.95442,0.004768997099321115,0.9491195296972332,0.9597204703027669,0.9543170124527168,0.0048014646471273275,0.9489804563085527,0.959653568596881,0.9756607800716453,0.002203711948728866,0.9732114789928602,0.9781100811504303,0.9546600000000001,0.99328,0.99668,0.99842
