feature_level,population,abs_correlation
6,mated,0.6148184228323577
6,mated,0.6525581068500991
6,mated,0.5940374458698796
6,mated,0.6384112449584625
6,mated,0.666444355775023
6,mated,0.6678874188900678
6,mated,0.6559011035174312
6,mated,0.6363325197494681
6,mated,0.6708634125534108
6,mated,0.6326439125844414
6,mated,0.6319190841176422
6,mated,0.6706925185280783
6,mated,0.6241921130731508
6,mated,0.6599153819422704
6,mated,0.5109743094917943
6,mated,0.624816360161054
6,mated,0.6683401152274097
6,mated,0.5663081089247243
6,mated,0.6425167284656771
6,mated,0.6684195233794309
6,mated,0.6258986222915105
6,mated,0.6734245553813758
6,mated,0.6809796143608489
6,mated,0.6214251173562811
6,mated,0.6745502400247642
6,mated,0.6315668144275044
6,mated,0.656111282806896
6,mated,0.6267593337280541
6,mated,0.6447325300910828
6,mated,0.6587621556276395
6,mated,0.6429233635670187
6,mated,0.658356705112451
6,mated,0.6490041634177802
6,mated,0.6529346162234807
6,mated,0.6510602939452864
6,mated,0.6615460352608307
6,mated,0.6565901887276521
6,mated,0.6535640790238675
6,mated,0.6542223798334751
6,mated,0.6567364002908955
6,mated,0.646281208315481
6,mated,0.6366029134126312
6,mated,0.4637706285954691
6,mated,0.6560292140807639
6,mated,0.6737219415416518
6,mated,0.6585930692910901
6,mated,0.6527075313564527
6,mated,0.6569133494560856
6,mated,0.628568685633916
6,mated,0.6689541475210755
6,mated,0.6786081081524565
6,mated,0.6560146982986068
6,mated,0.6310724779864318
6,mated,0.626530275086968
6,mated,0.6278015250924133
6,mated,0.6356722904381971
6,mated,0.675744567073207
6,mated,0.6490475559257667
6,mated,0.625563541717733
6,mated,0.6818560522653111
6,mated,0.6646986620183412
6,mated,0.6653557110624215
6,mated,0.6499767831899058
6,mated,0.6468259407732739
6,mated,0.680783815668328
6,mated,0.6321712052627982
6,mated,0.6488478630689749
6,mated,0.6803017764027749
6,mated,0.6640003372665728
6,mated,0.5767091873331008
6,mated,0.6695897144511127
6,mated,0.6739178927827034
6,mated,0.6404837066118875
6,mated,0.6805926383868837
6,mated,0.6632100496246717
6,mated,0.6390024157073848
6,mated,0.6124634671838342
6,mated,0.6309742462066045
6,mated,0.6695551115713476
6,mated,0.6073800209585757
6,mated,0.6835848742948789
6,mated,0.6335674519446326
6,mated,0.6674846986181423
6,mated,0.6503011174597446
6,mated,0.6624240573082605
6,mated,0.6592274118957269
6,mated,0.6650961313261528
6,mated,0.6567765757950851
6,mated,0.6671943709314156
6,mated,0.6595281035411767
6,mated,0.6587995372899179
6,mated,0.6420932217504792
6,mated,0.6703981903205564
6,mated,0.6612893400685271
6,mated,0.6305361136555931
6,mated,0.646441916588797
6,mated,0.6195110899689673
6,mated,0.64421266878507
6,mated,0.6251666917140098
6,mated,0.598548574946145
6,mated,0.5659253921757814
6,mated,0.48551310245952883
6,mated,0.35623630215335256
6,mated,0.5037928781899256
6,mated,0.49479052163224707
6,mated,0.5333784169594928
6,mated,0.481177135841397
6,mated,0.6476841395098056
6,mated,0.4992209414155596
6,mated,0.5112974326477868
6,mated,0.6227757538546871
6,mated,0.6833258640744849
6,mated,0.7291939177910396
6,mated,0.7156402132176625
6,mated,0.7220942597580724
6,mated,0.5060469642188641
6,mated,0.5959283512707586
6,mated,0.5695573892678104
6,mated,0.4725444811438118
6,mated,0.48927220028166796
6,mated,0.3694937512853036
6,mated,0.46873427264119255
6,mated,0.2957723884887781
6,mated,0.507267315638084
6,mated,0.5626483718522294
6,mated,0.5495593617521248
6,mated,0.5196524416146957
6,mated,0.5788627073050053
6,mated,0.4759164875577035
6,mated,0.5243833131484226
6,mated,0.5516121413218074
6,mated,0.5620988839574189
6,mated,0.45590185410443346
6,mated,0.3133428813125091
6,mated,0.6295080739384363
6,mated,0.45709363391016417
6,mated,0.5452278633571305
6,mated,0.6545364758374568
6,mated,0.46675047515163537
6,mated,0.5545713839105147
6,mated,0.473868868363745
