segment,feature_level,ecg_correlation,ppg_correlation,max_feature_correlation,feature_recovery_energy_ratio,subspace_ratio,ppg_linear_correlation
5158,6,0.7754197642494017,0.7254994530744733,0.7486518536759746,0.600323314436986,0.5054945054945055,0.6877491353229477
3658,6,0.6967984267974701,0.6735474418899909,0.6850095690342483,0.4785470633812456,0.5054945054945055,0.6361466544104977
3307,6,0.6573147616708666,0.6499687077222903,0.6519943564314623,0.43842192972145766,0.5054945054945055,0.6556901346680266
8190,6,0.7408996651938525,0.6742335810538684,0.706962505018933,0.5568492462708655,0.5054945054945055,0.786674620657826
1304,6,0.7896489782189174,0.691589479782847,0.739597024504961,0.621045983434183,0.5054945054945055,0.7720423614703011
7551,6,0.6687610314996422,0.704582006436786,0.6871727095997541,0.4605218639051925,0.5054945054945055,0.7140223147163638
8089,6,0.6035021755271932,0.5718713021358095,0.5890320116035729,0.38398838713780536,0.5054945054945055,0.6796359837082987
111,6,0.6715950153122837,0.73723012289428,0.6905386826144319,0.4507944383843003,0.5054945054945055,0.7581214020587027
6773,6,0.7453571888268782,0.6425814875121242,0.6900275931177571,0.5722353147478656,0.5054945054945055,0.6328812727787058
7519,6,0.7389830341916868,0.6720106488875719,0.7042634109530662,0.538728893296096,0.5054945054945055,0.7555539802419622
7180,6,0.6390536121684157,0.676441509241484,0.6585916152342661,0.4333537539204104,0.5054945054945055,0.6723877196935281
9323,6,0.6685322984568014,0.6781444555395472,0.673940813460026,0.46229254779988305,0.5054945054945055,0.6363271058688287
1047,6,0.7375815788889034,0.6835699467740814,0.7106575563492622,0.5621327128605699,0.5054945054945055,0.611221043306193
6915,6,0.7710507828919809,0.7133933296153874,0.7387525962268785,0.5681708789027631,0.5054945054945055,0.6547131527181002
1926,6,0.7458617201754483,0.6907020044439448,0.718233839534114,0.5643902984317325,0.5054945054945055,0.6702493023284158
6661,6,0.7593524332563976,0.6476018921653499,0.703537453215922,0.56655944555944,0.5054945054945055,0.7628095394539423
