feature_level,n_keys,renewability_genuine_mean,renewability_baseline_mean,renewability_ratio,diversity_mean_abs_corr,diversity_std_abs_corr,unlinkability_d_sys
1,16,0.0570595072023097,0.6280518303101735,0.09085158970738122,0.03241586777444993,0.028890226714160937,0.036133895922595076
2,16,0.04723035467503738,0.541634126355384,0.08719973941237223,0.020779917480219196,0.01699638175747605,0.030591592278388043
3,16,0.04357678653717614,0.5188461363266388,0.08398787903807853,0.018519726916240962,0.017356813107397392,0.02646943405849047
4,16,0.026510203233945998,0.484551415406497,0.05471081580002447,0.01413101505250581,0.012192514625774751,0.015049074117519868
5,16,0.03182715745744832,0.47319657404598614,0.0672599067768299,0.013120220578615881,0.011247661330474792,0.004277873528655567
6,16,0.03609277543035662,0.4394662126059747,0.08212866972487233,0.011767252640246025,0.01010353075805421,0.011791483634407292
