segment,n_trials,bit_error_rate_mean,bit_error_rate_std,correlation_mean,correlation_std
4790,24,0.49888033413848626,0.16935496857688767,0.07832659307657489,0.054473954493586434
9014,24,0.5012203099838969,0.16041570413323678,0.053568083258951425,0.04712194332956822
5191,24,0.5317532206119163,0.1856767756825874,0.06788555821814739,0.04077170060180368
3056,24,0.48965881642512077,0.14986725236424256,0.06687437862444419,0.047418498352462174
135,24,0.5445601851851852,0.15339680858344634,0.06685802669982453,0.04144561372182966
464,24,0.5099889291465378,0.1606550842751124,0.09002885612973603,0.04442706040892187
7761,24,0.5127189009661836,0.16528090907756296,0.07636748540166316,0.06841487901826182
5947,24,0.5253748993558777,0.1688945440360795,0.06896335727932279,0.04648147215273041
3915,24,0.532608695652174,0.211901162112312,0.05152117626488534,0.036049852479248294
9957,24,0.4936216787439614,0.17127175649185117,0.06768397724201759,0.05228595189365931
6554,24,0.5485230475040258,0.16051477893124738,0.06314724152001781,0.05099935058983433
5925,24,0.5116369766505636,0.18058801967792584,0.05823735966029383,0.03753828915017311
3623,24,0.5291364734299516,0.17518388671404408,0.04778037023515506,0.0406193201274147
8506,24,0.48120471014492755,0.1688443801145122,0.06847585971591712,0.046541937694563815
6232,24,0.5258655394524959,0.18395334397576707,0.05206725104523257,0.039900172699141416
424,24,0.5131340579710145,0.18978834684598136,0.050533022114572855,0.03876100309189519
